Sentence,Category
"""The team celebrated their championship win with a grand parade through the city.""",Error: An exception occurred.
"""Serena Williams broke another record at the Australian Open with her powerful serve.""",Error: An exception occurred.
"""The coach implemented a new strategy to improve the team's defensive line.""",Error: An exception occurred.
"""The marathon runner finished in under two hours, setting a new world record.""",Error: An exception occurred.
"""The soccer match was postponed due to heavy rain and unsafe playing conditions.""",Error: An exception occurred.
"""The company reported a 15% increase in quarterly profits due to higher sales.""",Error: An exception occurred.
"""The board of directors met to discuss the upcoming merger with a major competitor.""",Error: An exception occurred.
"""The startup received venture capital funding to accelerate its product development.""",Error: An exception occurred.
"""The CEO announced a new initiative to enhance employee work-life balance.""",Error: An exception occurred.
"""The market research indicated a growing demand for eco-friendly consumer products.""",Error: An exception occurred.
"""Scientists discovered a new exoplanet in the habitable zone of its star system.""",Error: An exception occurred.
"""The research team published their findings on the effects of climate change on coral reefs.""",Error: An exception occurred.
"""A breakthrough in quantum computing could revolutionize data processing speeds.""",Error: An exception occurred.
"""The experiment aimed to understand the genetic basis of inherited diseases.""",Error: An exception occurred.
"""Astronomers observed unusual activity in a distant galaxy, leading to new theories about dark matter.""",Error: An exception occurred.
